NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC
n411;260001;oc;skull;max;r;c;;roots;3;m1 G, ++;;9;18;indet;;;;;;;;;;;;;;;;;;;;
n5609;280216;oc;FE;g-s;r;c;si;fissures, roots;1;f;;42;120;NA3;;;;;;5;187;182,5;44,9;20,5;16,4;;50,3;;;;;;;
n10754;290432;oc;esc;pala;l;c;;fissures, burnt;3;;;1;4;NA1;;;;;;9;;;;;;;;;;;;;;
n11808;290132;sudo;RA;s;l;c;;;0;nf;;0;1;NA3;;;;;;10;;;;;;;;;;;;;;
n8817;290314;sudo;ulna;diaf prox;r;c;;fissures, carnivore;1;;;9;72;NR;;;;;;7;;;;;;;;;;;;;;
n1303;270035;sudo;skull;orbita i frontal;;;;;;;;2;6;indet;;;;;;1;;;;;;;;;;;;;;
n12941;***1071;oc;HU;diaf dist;r;c;;weathering;2;nf;;1;6;EarlyRoman;;;;;;12;;;;;;;;;;;;;;
n12552;270201;oc;HU;diaf;l;c;;fissures, roots;3;;;;;indet;;;;;;11;;;;;;;;;;;;;;
n631;170062;ovar;mand;p2-m1;r;c;;roots;1;m1 +;;3;9;Med;;;;;;;;;;;;;;;;;;;;
n10945;290432;bota;vert;sacrum;;sto;;fissures;1;;;9;42;NA1;;;;;;9;;;;;;;;;;;;;;
n13398;***2315;ovar;mand;(p2), p3_m3;l;c;si;fissures, weathering;2;m1 9A, m2 8A, m3 5A;;24;48;NR;;;;;;12;;;;;;;;;;;;;;
n2050;270401;oc;dn;molar indet;;sto;si;;;;;;;Vand;;;;;;2;;;;;;;;;;;;;;
n50;260306;sudo;cost;cos;;c;;roots;2;;;9;72;Vand;;;450;525;1a costella;;;;;;;;;;;;;;;
n2158;270064;sudo;skull;max: m1-m2;l;;;roots;1;m2 +;;21;24;NR;;;;;;2;;;;;;;;;;;;;;
n7500;180157;other;tortuga;;;;;;;;;;;indet;;;;;;B;;;;;;;;;;;;;;
n11115;290435;bota;dn;m1;r;c;;fissures;1; +++;;48;72;NA1;;;;;;10;;;;;;;;;;;;;;
n1892;270211;oc;TI;diaf;l;lat;;weathering, roots;1;;;9;120;Vand;;;;;;2;;;;;;;;;;;;;;
n12675;***1040;oc;FE;diaf;;sto;;roots;1;;;;;Med;;;;;;11;;;;;;;;;;;;;;
n1239;170001;oc;dn;m2 o m3 sup;r;c;si;;; +/-;;9;24;Med;;;;;;;;;;;;;;;;;;;;
n13721;290131;sudo;P1;epif prox;;;;;;nf;;6;24;NA3;;;;;;12;;;;;;;;;;;;;;
n9811;290212;oc;carp;hamatum;;c;;digerit;3;;;1;6;NR;;;;;;8;;;;;;;;;;;;;;
n5831;280337;ovar;skull;banya;r;c;;roots;1;;;6;24;NR;;;;;;5;;;;;;;;;;;;;;
n7031;170033;oc;skull;zigomatic;l;c;;roots;2;;;;;Vand;;;;;;C;;;;;;;;;;;;;;
n9983;190029;ovar;dn;m2 inf;l;c;;;0; +, E;;24;36;EarlyRoman;;;;;;8;;;;;;;;;;;;;;
n10762;290432;oc;dn;d4;l;c;;weathering;1;d4 ++;;4;9;NA1;;;;;;9;;;;;;;;;;;;;;
n1820;270211;oc;vert;lumbar;;c;si;burnt, roots;1;ec;;42;48;Vand;;;;;;2;;;;;;;;;;;;;;
n2435;270049;sudo;mand;extrem;l;c;;fissures, roots, carnivore;1;I1 +;masc;12;18;NR;;;;;;1;;;;;;;;;;;;;;
n5624;280216;oc;RA;epif dist;;sto;si;roots;1;nf;;9;42;NA3;;;;;;5;;;;;;;;;;;;;;
n5488;280204;sudo;dn;m2 sup;r;c;;roots;1; +;;21;24;NA3;;;;;;5;;;;;;;;;;;;;;
n63;260307;oc;dn;m1 inf;l;c;;roots;1;E, +;;3;9;Med;;;;;;;;;;;;;;;;;;;;
n13301;***2314;oc;RA;diaf;;sto;;roots;1;;;;;NR;;;;;;12;;;;;;;;;;;;;;
n4201;280413;sudo;vert;atlas;;lat;;roots;1;;;9;72;Vand;;;;;;4;;;;;;;;;;;;;;
n9792;290212;sudo;P3;s;;c;;digerit;3;;;6;24;NR;;;;;;8;;;;;;;;;;;;;;
n8819;290314;sudo;dn;inc sup;;c;;;;;;;;NR;;;;;;7;;;;;;;;;;;;;;
n12195;190032;oc;RA;diaf;l;c;si;roots, fissures;2;;;;;EarlyRoman;;;;;;11;;;;;;;;;;;;;;
n12914;***1068;oc;P1;s;;c;;;0;nf;;1;6;EarlyRoman;;;;;;12;;;;;;;;;;;;;;
n10741;290432;oc;carp;pisiforme;l;c;;;0;;;;;NA1;;;;;;9;;;;;;;;;;;;;;
n13556;***2315;bota;naviculo-cuboide;;r;c;si;carnivore, weathering;2;;;6;120;NR;;;;;;12;;;;;;;;;;;;;;
n2462;270049;ovar;mand;serie: p2-m2;r;c;;burnt, fissures, carnivore;1;m2 +;;9;18;NR;;;;;;1;;;;;;;;;;;;;;
n11182;290222;bota;TI;ext prox;l;med;;fissures, roots;1;f;;48;120;NA3;;;;;;10;;;;;;;;;;;;;;
n6600;280300;sudo;skull;frontal;l;c;;;0;nf;;1;4;Vand;;;;;;A;;;;;;;;;;;;;;
n13762;***2307;micromam;mand;gs;l;;;;;;;;;NR;;;;;;12;;;;;;;;;;;;;;
n13764;***2307;micromam;HU;diaf dist;r;;;;;;;;;NR;;;;;;12;;;;;;;;;;;;;;
n6397;280302;sudo;CA;;r;c;;carnivore, roots;1;nf;;9;30;Vand;;;;;;A;;;;;;;;;;;;;;
n140;260001;bird;tars-MT;diaf dist;;c;;roots;1;;;;;indet;;;superficial;;;;;;;;;;;;;;;;;
n10749;290432;oc;P1;diaf dist;;c;;roots;1;;;;;NA1;;;;;;9;;;;;;;;;;;;;;
n808;270346;oc;TI;diaf dist;l;c;;fissures, roots;2;f dist;;15;120;Vand;;;;;;1;;;;;;;;;;;;;;
n8083;290107;sudo;HU;diaf;;c;;weathering, fissures, carnivoreq;3;;;12;72;NR;;;;;;6;;;;;;;;;;;;;;
